"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923978384,0.0600016229751453,-40.3775618000768,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534773574,0.0724172024460707,44.2153968888849,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.31373756501605,0.0575533673610113,-40.2016019410787,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137021869,0.0538449085481323,-38.2511815091592,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937251539,0.0431679927441312,-43.7365569371319,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200670737,0.043935438000893,-37.550371221378,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833208896,0.0690717580688999,48.420778992664,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794572606,0.0617086160561637,38.7674865945582,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225777685848,0.0388966424646405,47.1058081304605,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649933582,0.0419165006830691,-43.993331248681,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046255742,0.0552681297682498,41.0015767144563,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550833,0.0552183321454132,40.9741724822501,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.1960583255764,0.075785036155238,-42.1726832593917,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295763389,0.0543254358181431,38.2834104561258,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810354678,0.0505768640522764,-38.3261821362278,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205039223,0.0462973444022322,44.0060240322121,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949490536,0.0435953854055785,44.7421092108471,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169442315,0.0653981307723763,38.5901196963439,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311452754,0.086518543888932,44.5945220654726,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774840735,0.0581377327473905,-41.3963124235416,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912745704,0.0696221043429344,-42.0008724966642,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576629295,0.0404435495995755,-52.9712596323502,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041296306,0.0670975527715129,37.7738130270397,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117833479,0.0358590286681485,-37.338746420761,3.8609849651245e-305,2.36324454740329e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567993,0.044758130915683,37.2705365830059,4.92688336750326e-304,2.89503666674491e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073535361,0.0488625151777213,36.9471511809681,8.09253068166574e-299,4.57227983514115e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709006222,0.0550460864936556,36.8352633078814,5.03532716558055e-297,2.73959096527327e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702359215,0.0693613901900934,36.6909748581659,1.01728337475449e-294,5.33710456255121e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670758443,0.0589063490211621,-36.466132144987,3.81881193011568e-291,1.9344257673586e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656939903,0.121636384989689,36.4540311665371,5.93860004388045e-291,2.90793448815346e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197843,0.0608219616757594,-36.2808232615408,3.24657169460656e-288,1.53845607076679e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600346727,0.0694013578085768,36.2707025186787,4.68804577689257e-288,2.15210601445475e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
